,Tissue,Delivery,Date,Animal,Test,Function,Parent,Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Naive_HEK293T_ZC66_R_ALT_Barcode_13,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,13,13_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_14,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,14,14_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_15,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,15,15_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_16,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,16,16_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_17,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,17,17_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_18,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,18,18_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_19,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,19,19_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_20,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,20,20_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_21,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,21,21_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_22,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,22,22_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_23,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,23,23_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_24,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,24,24_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_25,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,25,25_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
