,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Column_Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_11,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,11,11alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_12,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,12,12alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_13,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,13,13alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_14,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,14,14alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_15,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,15,15alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt3_Barcode_1,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,1,1alt3,lt3,IFNB_HMC3Col_ZC74_R_lt3,HMC3_lt3,HMC3_IFNB_lt3,Allele
IFNB_HMC3Col_ZC74_R_alt3_Barcode_2,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,2,2alt3,lt3,IFNB_HMC3Col_ZC74_R_lt3,HMC3_lt3,HMC3_IFNB_lt3,Allele
IFNB_HMC3Col_ZC74_R_alt3_Barcode_3,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,3,3alt3,lt3,IFNB_HMC3Col_ZC74_R_lt3,HMC3_lt3,HMC3_IFNB_lt3,Allele
IFNB_HMC3Col_ZC74_R_alt3_Barcode_4,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,4,4alt3,lt3,IFNB_HMC3Col_ZC74_R_lt3,HMC3_lt3,HMC3_IFNB_lt3,Allele
IFNB_HMC3Col_ZC74_R_alt3_Barcode_5,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,5,5alt3,lt3,IFNB_HMC3Col_ZC74_R_lt3,HMC3_lt3,HMC3_IFNB_lt3,Allele
