,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC103-MPRA3-AP1120-26-Cortex_alt2_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2alt2,lt2,ZC103R-MPRA3-AP1120-26-Cortex_lt2,AP1120_lt2,Cortex_lt2,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt2_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3alt2,lt2,ZC103R-MPRA3-AP1120-26-Cortex_lt2,AP1120_lt2,Cortex_lt2,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt2_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4alt2,lt2,ZC103R-MPRA3-AP1120-26-Cortex_lt2,AP1120_lt2,Cortex_lt2,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt2_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5alt2,lt2,ZC103R-MPRA3-AP1120-26-Cortex_lt2,AP1120_lt2,Cortex_lt2,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt3_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1alt3,lt3,ZC103R-MPRA3-AP1120-26-Cortex_lt3,AP1120_lt3,Cortex_lt3,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt3_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2alt3,lt3,ZC103R-MPRA3-AP1120-26-Cortex_lt3,AP1120_lt3,Cortex_lt3,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt3_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3alt3,lt3,ZC103R-MPRA3-AP1120-26-Cortex_lt3,AP1120_lt3,Cortex_lt3,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt3_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4alt3,lt3,ZC103R-MPRA3-AP1120-26-Cortex_lt3,AP1120_lt3,Cortex_lt3,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt3_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5alt3,lt3,ZC103R-MPRA3-AP1120-26-Cortex_lt3,AP1120_lt3,Cortex_lt3,Allele
ZC104-MPRA3-AP1120-26-Striatum_motif_Barcode_1,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,1,1otif,tif,ZC104R-MPRA3-AP1120-26-Striatum_tif,AP1120_tif,Striatum_tif,motif
