,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC118-MPRA3-AP1120-26-SI_alt1_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1alt1,lt1,ZC118-MPRA3-AP1120-26-SI_lt1,AP1120_lt1,Small_Intestine_lt1,Allele
ZC118-MPRA3-AP1120-26-SI_alt1_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2alt1,lt1,ZC118-MPRA3-AP1120-26-SI_lt1,AP1120_lt1,Small_Intestine_lt1,Allele
ZC118-MPRA3-AP1120-26-SI_alt1_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3alt1,lt1,ZC118-MPRA3-AP1120-26-SI_lt1,AP1120_lt1,Small_Intestine_lt1,Allele
ZC118-MPRA3-AP1120-26-SI_alt1_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4alt1,lt1,ZC118-MPRA3-AP1120-26-SI_lt1,AP1120_lt1,Small_Intestine_lt1,Allele
ZC118-MPRA3-AP1120-26-SI_alt1_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5alt1,lt1,ZC118-MPRA3-AP1120-26-SI_lt1,AP1120_lt1,Small_Intestine_lt1,Allele
ZC118-MPRA3-AP1120-26-SI_alt2_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1alt2,lt2,ZC118-MPRA3-AP1120-26-SI_lt2,AP1120_lt2,Small_Intestine_lt2,Allele
ZC118-MPRA3-AP1120-26-SI_alt2_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2alt2,lt2,ZC118-MPRA3-AP1120-26-SI_lt2,AP1120_lt2,Small_Intestine_lt2,Allele
ZC118-MPRA3-AP1120-26-SI_alt2_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3alt2,lt2,ZC118-MPRA3-AP1120-26-SI_lt2,AP1120_lt2,Small_Intestine_lt2,Allele
ZC118-MPRA3-AP1120-26-SI_alt2_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4alt2,lt2,ZC118-MPRA3-AP1120-26-SI_lt2,AP1120_lt2,Small_Intestine_lt2,Allele
ZC118-MPRA3-AP1120-26-SI_alt2_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5alt2,lt2,ZC118-MPRA3-AP1120-26-SI_lt2,AP1120_lt2,Small_Intestine_lt2,Allele
ZC118-MPRA3-AP1120-26-SI_alt3_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1alt3,lt3,ZC118-MPRA3-AP1120-26-SI_lt3,AP1120_lt3,Small_Intestine_lt3,Allele
ZC118-MPRA3-AP1120-26-SI_alt3_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2alt3,lt3,ZC118-MPRA3-AP1120-26-SI_lt3,AP1120_lt3,Small_Intestine_lt3,Allele
ZC118-MPRA3-AP1120-26-SI_alt3_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3alt3,lt3,ZC118-MPRA3-AP1120-26-SI_lt3,AP1120_lt3,Small_Intestine_lt3,Allele
ZC118-MPRA3-AP1120-26-SI_alt3_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4alt3,lt3,ZC118-MPRA3-AP1120-26-SI_lt3,AP1120_lt3,Small_Intestine_lt3,Allele
ZC118-MPRA3-AP1120-26-SI_alt3_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5alt3,lt3,ZC118-MPRA3-AP1120-26-SI_lt3,AP1120_lt3,Small_Intestine_lt3,Allele
