,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
ZC95-MPRA3-AP1133-26-Cortex_REF_Barcode_3,Cortex,AAV-PHP-EB,,AP1133,M,ZC95R-MPRA3-AP1133-26-Cortex,Brain,Brain,0,0,1,AP1133Cortex,3,3_REF,REF,ZC95R-MPRA3-AP1133-26-Cortex_REF,AP1133_REF,Cortex_REF
ZC96-MPRA3-AP1133-26-Striatum_ALT_Barcode_1,Striatum,AAV-PHP-EB,,AP1133,M,ZC96R-MPRA3-AP1133-26-Striatum,Brain,Brain,1,0,0,AP1133Striatum,1,1_ALT,ALT,ZC96R-MPRA3-AP1133-26-Striatum_ALT,AP1133_ALT,Striatum_ALT
ZC96-MPRA3-AP1133-26-Striatum_ALT_Barcode_2,Striatum,AAV-PHP-EB,,AP1133,M,ZC96R-MPRA3-AP1133-26-Striatum,Brain,Brain,1,0,0,AP1133Striatum,2,2_ALT,ALT,ZC96R-MPRA3-AP1133-26-Striatum_ALT,AP1133_ALT,Striatum_ALT
ZC96-MPRA3-AP1133-26-Striatum_ALT_Barcode_3,Striatum,AAV-PHP-EB,,AP1133,M,ZC96R-MPRA3-AP1133-26-Striatum,Brain,Brain,1,0,0,AP1133Striatum,3,3_ALT,ALT,ZC96R-MPRA3-AP1133-26-Striatum_ALT,AP1133_ALT,Striatum_ALT
ZC96-MPRA3-AP1133-26-Striatum_REF_Barcode_1,Striatum,AAV-PHP-EB,,AP1133,M,ZC96R-MPRA3-AP1133-26-Striatum,Brain,Brain,1,0,0,AP1133Striatum,1,1_REF,REF,ZC96R-MPRA3-AP1133-26-Striatum_REF,AP1133_REF,Striatum_REF
ZC96-MPRA3-AP1133-26-Striatum_REF_Barcode_2,Striatum,AAV-PHP-EB,,AP1133,M,ZC96R-MPRA3-AP1133-26-Striatum,Brain,Brain,1,0,0,AP1133Striatum,2,2_REF,REF,ZC96R-MPRA3-AP1133-26-Striatum_REF,AP1133_REF,Striatum_REF
ZC96-MPRA3-AP1133-26-Striatum_REF_Barcode_3,Striatum,AAV-PHP-EB,,AP1133,M,ZC96R-MPRA3-AP1133-26-Striatum,Brain,Brain,1,0,0,AP1133Striatum,3,3_REF,REF,ZC96R-MPRA3-AP1133-26-Striatum_REF,AP1133_REF,Striatum_REF
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,1,1_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,2,2_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,3,3_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT
ZC97-MPRA3-AP1133-26-Hippocampus_REF_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,1,1_REF,REF,ZC97R-MPRA3-AP1133-26-Hippocampus_REF,AP1133_REF,Hippocampus_REF
ZC97-MPRA3-AP1133-26-Hippocampus_REF_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,2,2_REF,REF,ZC97R-MPRA3-AP1133-26-Hippocampus_REF,AP1133_REF,Hippocampus_REF
ZC97-MPRA3-AP1133-26-Hippocampus_REF_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,3,3_REF,REF,ZC97R-MPRA3-AP1133-26-Hippocampus_REF,AP1133_REF,Hippocampus_REF
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,1,1_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,2,2_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT
ZC99-MPRA3-AP1134-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,3,3_ALT,ALT,ZC99R-MPRA3-AP1134-26-Cortex_ALT,AP1134_ALT,Cortex_ALT
ZC99-MPRA3-AP1134-26-Cortex_REF_Barcode_1,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,1,1_REF,REF,ZC99R-MPRA3-AP1134-26-Cortex_REF,AP1134_REF,Cortex_REF
ZC99-MPRA3-AP1134-26-Cortex_REF_Barcode_2,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,2,2_REF,REF,ZC99R-MPRA3-AP1134-26-Cortex_REF,AP1134_REF,Cortex_REF
ZC99-MPRA3-AP1134-26-Cortex_REF_Barcode_3,Cortex,AAV-PHP-EB,,AP1134,M,ZC99R-MPRA3-AP1134-26-Cortex,Brain,Brain,0,0,1,AP1134Cortex,3,3_REF,REF,ZC99R-MPRA3-AP1134-26-Cortex_REF,AP1134_REF,Cortex_REF
