,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_8,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,8,8alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_9,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,9,9alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_10,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,10,10alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_11,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,11,11alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_12,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,12,12alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_13,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,13,13alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_14,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,14,14alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_15,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,15,15alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt3_Barcode_1,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,1,1alt3,lt3,IFNG_THP1mac_ZC59_R_lt3,Macrophage_lt3,THP1_IFNG_lt3,Allele
IFNG_THP1mac_ZC59_R_alt3_Barcode_2,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,2,2alt3,lt3,IFNG_THP1mac_ZC59_R_lt3,Macrophage_lt3,THP1_IFNG_lt3,Allele
